Sr. No.,Date,Day,Description
1,26-Jan-21,Tuesday,Republic Day
2,11-Mar-21,Thursday,Mahashivratri
3,29-Mar-21,Monday,Holi
4,02-Apr-21,Friday,Good Friday
5,14-Apr-21,Wednesday,Dr.Baba Saheb Ambedkar Jayanti
6,21-Apr-21,Wednesday,Ram Navami
7,13-May-21,Thursday,Id-Ul-Fitr (Ramzan ID)
8,21-Jul-21,Wednesday,Bakri Id
9,19-Aug-21,Thursday,Moharram
10,10-Sep-21,Friday,Ganesh Chaturthi
11,15-Oct-21,Friday,Dussehra
12,04-Nov-21,Thursday,Diwali-Laxmi Pujan*
13,05-Nov-21,Friday,Diwali-Balipratipada
14,19-Nov-21,Friday,Gurunanak Jayanti
